"","SoC","Novel"
"231",1096.90430984564,1287.7030474231
"232",929.212189961219,938.026213403468
"233",588.77544778635,600.233881283227
"234",993.249612607774,1157.5884650593
"235",942.803887763298,988.940987578687
"236",1040.95320160171,1332.5976225277
"237",925.185655432318,964.014564037067
"238",1070.18557529203,1310.25156587517
"239",811.093843875452,837.675356676247
"240",1068.48864868497,1240.03819947837
"241",998.04018878578,1222.32609848495
"242",1074.36732313769,1425.35796554857
"243",547.932642669405,612.403697259025
"244",1068.62811264894,1260.17748794612
"245",852.879894500862,943.086370417055
"246",310.919101658607,296.948228712014
"247",939.237395480626,1108.46996029685
"248",1101.84956265679,1186.55734272809
"249",981.64948251576,1047.21825314681
"250",969.073802189344,1011.62437092119
"251",913.713102743215,945.690705665176
"252",937.681471472963,960.232752717845
"253",915.042744607436,1031.87850382931
"254",1035.69724285768,1086.66004511796
"255",1016.91307035603,1162.25409253502
"256",1069.02698449916,1214.0911835339
"257",1127.75492353043,1206.95884400054
"258",914.649697147051,951.595491352131
"259",959.565480854618,1271.74369043507
"260",1115.74134155447,1160.76780915454
"261",325.732231686471,301.873326273443
"262",1115.36068145411,1317.06357944514
"263",1016.94367271888,1036.68979587351
"264",933.515231503965,966.287552462157
"265",830.427465689253,876.423205735115
"266",1187.27285020041,1370.4467430625
"267",842.508244508143,1055.08515361949
"268",1108.60310470016,1273.55807820039
"269",918.318010675702,1186.46190533704
"270",1136.48875553487,1261.17280261981
"271",584.544777079731,587.100845072425
"272",1117.08596113726,1200.7052204384
"273",936.02957102218,959.428408586915
"274",656.098857628405,611.526671782544
"275",1041.99872902955,1247.77046377019
"276",995.049594431603,1121.57674671067
"277",794.212696979539,851.507205536374
"278",925.474902322405,1132.30026197779
"279",657.94743262234,661.877728373989
"280",1229.7753815475,1428.13033040393
"281",1125.21617348648,1236.45352093136
"282",901.983530001418,995.324699779196
"283",1187.89030218103,1326.45565939935
"284",1215.3742848176,1434.64444628628
"285",1062.28927073321,1150.07245166643
"286",1071.7428027679,1187.75119252655
"287",1022.17008922899,1340.09127525499
"288",960.748401298749,1251.10617463506
"289",978.235550150561,1036.8893715289
"290",998.773285591302,1099.87470119175
"291",1081.07718544272,1177.47861871192
"292",1117.86521328831,1306.05812218218
"293",1255.10854387995,1415.31526449877
